type_produit;ean;nom;marque;fournisseur;reference_fournisseur;prix_fournisseur_ht;taux_tva_achat;quantite_stock;categorie_site;theme_template;famille_produit;longueur;largeur;hauteur;poids;image_principale;image_2;image_3;statut_stock;eligible_papier_cadeau;fiche_a_terminer;url_fiche_stor
stock;8412497317868;Mug thermoréactif Stitch Aloha 325 ml;Stitch;Stor;31786;7,14;0;12;Mugs;Template STOCK Mugs Vaisselle;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;11,1;8,5;10,2;0,349;https://storline.com/3538504-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-stitch-aloha.jpg;https://storline.com/3538506-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-stitch-aloha.jpg;https://storline.com/3538508-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-stitch-aloha.jpg;actif;1;1;https://storline.com/es/tazas/1686-taza-ceramica-325-ml-changing-color-en-caja-regalo-stitch-aloha-8412497317868.html
stock;8412497310661;Mug thermoréactif Harry Potter Magic & Mayhem 325 ml;Harry Potter;Stor;31066;7,14;0;12;Mugs;Template STOCK Mugs Vaisselle;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;11,1;8,5;10,2;0,349;https://storline.com/3537682-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-harry-potter-magic-mayhem.jpg;https://storline.com/3537684-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-harry-potter-magic-mayhem.jpg;https://storline.com/3537687-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-harry-potter-magic-mayhem.jpg;actif;1;1;https://storline.com/es/tazas/1549-taza-ceramica-325-ml-changing-color-en-caja-regalo-harry-potter-magic-mayhem-8412497310661.html
stock;8412497316663;Mug thermoréactif Pokémon Metal Meltdown 325 ml;Pokémon;Stor;31666;7,14;0;12;Mugs;Template STOCK Mugs Vaisselle;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;11,1;8,5;10,2;0,349;https://storline.com/3538098-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-pokemon-metal-meltdown.jpg;https://storline.com/3538100-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-pokemon-metal-meltdown.jpg;https://storline.com/3538103-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-pokemon-metal-meltdown.jpg;actif;1;1;https://storline.com/es/tazas/1659-taza-ceramica-325-ml-changing-color-en-caja-regalo-pokemon-metal-meltdown-8412497316663.html
stock;8412497787401;Mug thermoréactif Super Mario 325 ml;Super Mario;Stor;78740;7,14;0;12;Mugs;Template STOCK Mugs Vaisselle;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;11,1;8,5;10,2;0,349;https://storline.com/3539409-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-super-mario-inlc.jpg;https://storline.com/3539411-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-super-mario-inlc.jpg;https://storline.com/3539413-large_default/taza-ceramica-325-ml-changing-color-en-caja-regalo-super-mario-inlc.jpg;actif;1;1;https://storline.com/es/tazas/1727-taza-ceramica-325-ml-changing-color-en-caja-regalo-super-mario-inlc-8412497787401.html
stock;8412497317097;Gourde isotherme en inox Stitch Aloha 515 ml;Stitch;Stor;31709;12,86;0;6;Gourdes;Template STOCK Mugs Vaisselle;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;7,1;7,1;24,2;0,325;https://storline.com/3538241-large_default/botella-termo-acero-inoxidable-515-ml-stitch-aloha-.jpg;https://storline.com/3538244-large_default/botella-termo-acero-inoxidable-515-ml-stitch-aloha-.jpg;https://storline.com/3538246-large_default/botella-termo-acero-inoxidable-515-ml-stitch-aloha-.jpg;actif;1;1;https://storline.com/es/botellas/1669-botella-termo-acero-inoxidable-515-ml-stitch-aloha--8412497317097.html
stock;8412497310098;Gourde isotherme en inox Harry Potter Magic & Mayhem 515 ml;Harry Potter;Stor;31009;12,86;0;6;Gourdes;Template STOCK Mugs Vaisselle;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;7,1;7,1;24,2;0,325;https://storline.com/3537533-large_default/botella-termo-acero-inoxidable-515-ml-harry-potter-magic-mayhem.jpg;https://storline.com/3537536-large_default/botella-termo-acero-inoxidable-515-ml-harry-potter-magic-mayhem.jpg;https://storline.com/3537538-large_default/botella-termo-acero-inoxidable-515-ml-harry-potter-magic-mayhem.jpg;actif;1;1;https://storline.com/es/botellas/1537-botella-termo-acero-inoxidable-515-ml-harry-potter-magic-mayhem-8412497310098.html
stock;8412497317646;Bol à ramen avec baguettes Stitch Aloha;Stitch;Stor;31764;11,04;0;6;Bols;Template STOCK Mugs Vaisselle;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;18;13,7;10,2;0,385;https://storline.com/3538445-large_default/cuenco-ramen-con-palillos-en-caja-regalo-stitch-aloha.jpg;https://storline.com/3538448-large_default/cuenco-ramen-con-palillos-en-caja-regalo-stitch-aloha.jpg;https://storline.com/3538451-large_default/cuenco-ramen-con-palillos-en-caja-regalo-stitch-aloha.jpg;actif;1;1;https://storline.com/es/cuencos/1683-cuenco-ramen-con-palillos-en-caja-regalo-stitch-aloha-8412497317646.html
stock;8412497798339;Boule à neige en verre Harry Potter;Harry Potter;Stor;79833;5,53;0;6;Boules à neige;Template STOCK Décorations;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;7;7;9,5;0,240;https://storline.com/3539601-large_default/globo-de-nieve-harry-potter-en-caja-de-regalo.jpg;https://storline.com/3539602-large_default/globo-de-nieve-harry-potter-en-caja-de-regalo.jpg;https://storline.com/3539603-large_default/globo-de-nieve-harry-potter-en-caja-de-regalo.jpg;actif;1;1;https://storline.com/es/bolas-nieve/1353-globo-de-nieve-harry-potter-en-caja-de-regalo-8412497798339.html
stock;8412497798322;Boule à neige en verre Stitch;Stitch;Stor;79832;5,53;0;6;Boules à neige;Template STOCK Décorations;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;7;7;9,5;0,240;https://storline.com/3539598-large_default/globo-de-nieve-stitch-en-caja-de-regalo.jpg;https://storline.com/3539599-large_default/globo-de-nieve-stitch-en-caja-de-regalo.jpg;https://storline.com/3539600-large_default/globo-de-nieve-stitch-en-caja-de-regalo.jpg;actif;1;1;https://storline.com/es/bolas-nieve/1352-globo-de-nieve-stitch-en-caja-de-regalo-8412497798322.html
stock;8412497798308;Boule à neige en verre Mickey;Mickey;Stor;79830;5,53;0;6;Boules à neige;Template STOCK Décorations;Objets - mugs, vaisselle, papeterie, figurines, déco, jeux;7;7;9,5;0,240;https://storline.com/3539592-large_default/globo-de-nieve-mickey-en-caja-de-regalo.jpg;https://storline.com/3539593-large_default/globo-de-nieve-mickey-en-caja-de-regalo.jpg;https://storline.com/3539594-large_default/globo-de-nieve-mickey-en-caja-de-regalo.jpg;actif;1;1;https://storline.com/es/bolas-nieve/1350-globo-de-nieve-mickey-en-caja-de-regalo-8412497798308.html
