=== marques === ['id', 'nom', 'description', 'actif', 'id_wizishop']
(1, 'Banpresto', '', 1, None)
(2, 'Bandaï', '', 1, None)
(3, 'Hasbro', '', 1, None)
(4, 'Joustra', '', 1, None)
(5, 'ABY Style', '', 1, None)
(6, 'Clémentoni', '', 1, None)
(7, 'Ravensburger', '', 1, None)
(8, 'Playmobil', '', 1, None)
(9, 'Bluey', '', 1, '#6')
(10, 'Spider-man', "Retrouvez chez Pop Licence tout l'univers Spider-Man de Marvel sous licence officielle. Spider-Man s'invite sur les sacs à dos, les vêtements, la vaisselle, la décoration et les figurines. Chaque article est un produit officiel, jamais une copie.", 1, '#4')
(11, 'Spider-Man', None, 1, None)
(12, 'Mickey', None, 1, None)
(13, 'Batman', None, 1, None)
(14, 'Poplicence', None, 1, None)
(15, 'Naruto', None, 1, None)
(16, 'Lego', None, 1, None)
(17, 'Marvel', None, 1, None)
(18, 'Pat Patrouille', None, 1, None)
(19, 'Stitch', None, 1, None)
(20, 'Star Wars', None, 1, None)

=== categories_site === ['id', 'nom', 'id_wizishop', 'categorie_parente_id', 'actif']
(1, 'Vêtements textiles', '6', None, 1)
(2, 'Chaussures', '7', None, 1)
(3, 'Sacs & bagagerie', '8', None, 1)
(4, 'Accessoires de mode', '9', None, 1)
(5, 'Linge de maison', '10', None, 1)
(6, 'Cuisine & vaisselle', '11', None, 1)
(7, 'Décoration', '12', None, 1)
(8, 'Lego', '13', None, 1)
(9, 'Playmobil', '14', None, 1)
(10, 'Jouets', '15', None, 1)
(11, 'Jeux', '16', None, 1)
(12, 'Premier âge', '17', None, 1)
(13, 'Figurines', '18', None, 1)
(14, 'Collections', '19', None, 1)
(15, 'Papeterie', '20', None, 1)
(16, 'Accessoires & Goodies', '21', None, 1)
(17, 'High-tech', '22', None, 1)
(18, 'Livres', '23', None, 1)
(19, 'Bébé', '24', None, 1)
(20, 'Hygiène & beauté', '25', None, 1)
(21, 'Animaux', '26', None, 1)
(22, 'T-shirts', '27', 1, 1)
(23, 'Sweats & Hoodies', '28', 1, 1)
(24, 'Pulls', '29', 1, 1)
(25, 'Chemises & Polos', '30', 1, 1)
(26, 'Débardeurs', '31', 1, 1)
(27, 'Pyjamas', '32', 1, 1)
(28, 'Robes & Jupes', '33', 1, 1)
(29, 'Pantalons & Shorts', '34', 1, 1)
(30, 'Vestes & Manteaux', '35', 1, 1)
(31, 'Sous-vêtements', '36', 1, 1)
(32, 'Maillots de bain', '37', 1, 1)
(33, 'Vêtements de sport', '38', 1, 1)
(34, 'Déguisements', '39', 1, 1)
(35, 'Baskets', '40', 2, 1)
(36, 'Chaussons', '41', 2, 1)
(37, 'Sandales', '42', 2, 1)
(38, 'Claquettes', '43', 2, 1)
(39, 'Tongs', '44', 2, 1)
(40, 'Sabots', '45', 2, 1)
(41, 'Bottes de pluie', '46', 2, 1)
(42, 'Cartables', '47', 3, 1)
(43, 'Sacs à dos', '48', 3, 1)
(44, 'Sacs bandoulière', '49', 3, 1)
(45, 'Sacs à main', '50', 3, 1)
(46, 'Sacs shopping', '51', 3, 1)
(47, 'Sacs de sport', '52', 3, 1)
(48, 'Sacs de voyage', '53', 3, 1)
(49, 'Valises', '54', 3, 1)
(50, 'Trousses', '55', 3, 1)
(51, 'Porte-monnaie', '56', 3, 1)
(52, 'Portefeuilles', '57', 3, 1)
(53, 'Lunch bags', '58', 3, 1)
(54, 'Sacs isothermes', '59', 3, 1)
(55, 'Casquettes', '60', 4, 1)
(56, 'Bonnets', '61', 4, 1)
(57, 'Écharpes', '62', 4, 1)
(58, 'Gants', '63', 4, 1)
(59, 'Chaussettes', '64', 4, 1)
(60, 'Ceintures', '65', 4, 1)
(61, 'Accessoires cheveux', '66', 4, 1)
(62, 'Lunettes de soleil', '67', 4, 1)
(63, 'Parapluies', '68', 4, 1)
(64, 'Ponchos', '69', 4, 1)
(66, 'Parures de lit', '70', 5, 1)
(67, 'Housses de couette', '71', 5, 1)
(68, 'Draps', '72', 5, 1)
(69, 'Draps-housses', '73', 5, 1)
(70, "Taies d'oreiller", '74', 5, 1)
(71, 'Couvertures', '75', 5, 1)
(72, 'Plaids', '76', 5, 1)
(73, 'Coussins', '77', 5, 1)
(74, 'Serviettes de bain', '78', 5, 1)
(75, 'Draps de bain', '79', 5, 1)
(76, 'Serviettes de plage', '80', 5, 1)
(77, 'Peignoirs de bain', '81', 5, 1)
(78, 'Torchons', '82', 5, 1)
(79, 'Mugs', '83', 6, 1)
(80, 'Tasses', '84', 6, 1)
(81, 'Verres', '85', 6, 1)
(82, 'Gourdes', '86', 6, 1)
(83, 'Bouteilles', '87', 6, 1)
(84, 'Assiettes', '88', 6, 1)
(85, 'Bols', '89', 6, 1)
(86, 'Gobelets', '90', 6, 1)
(87, 'Couverts', '91', 6, 1)
(88, 'Coffrets repas', '92', 6, 1)
(89, 'Lunch box', '93', 6, 1)
(90, 'Bentos', '94', 6, 1)
(91, 'Boîtes de conservation', '95', 6, 1)
(92, 'Sets de vaisselle', '96', 6, 1)
(93, 'Dessous de verre', '97', 6, 1)
(94, 'Dessous de plat', '98', 6, 1)
(95, 'Accessoires de cuisine', '99', 6, 1)
(96, 'Affiches & Posters', '100', 7, 1)
(97, 'Cadres & Toiles', '101', 7, 1)
(98, 'Plaques décoratives', '102', 7, 1)
(99, 'Stickers muraux', '103', 7, 1)
(100, 'Horloges', '104', 7, 1)
(101, 'Lampes & Veilleuses', '105', 7, 1)
(102, 'Néons LED', '106', 7, 1)
(103, 'Tirelires', '107', 7, 1)
(104, 'Boules à neige', '108', 7, 1)
(105, 'Coussins décoratifs', '109', 7, 1)
(106, 'Tapis', '110', 7, 1)
(107, 'Paillassons', '111', 7, 1)
(108, 'Poubelles', '112', 7, 1)
(109, 'Boîtes de rangement', '113', 7, 1)
(110, 'Décorations de Noël', '114', 7, 1)
(111, 'City', '115', 8, 1)
(112, 'Star Wars', '116', 8, 1)
(113, 'Harry Potter', '117', 8, 1)
(114, 'Marvel', '118', 8, 1)
(115, 'Disney', '119', 8, 1)
(116, 'Technic', '120', 8, 1)
(117, 'Icons', '121', 8, 1)
(118, 'Botanicals', '122', 8, 1)
(119, 'Speed Champions', '123', 8, 1)
(120, 'Junior', '124', 9, 1)
(121, '1.2.3', '125', 9, 1)
(122, 'Astérix', '126', 9, 1)
(123, 'Naruto', '127', 9, 1)
(124, 'Pirates', '128', 9, 1)
(125, 'Dino Rise', '129', 9, 1)
(126, 'Horses of Waterfall', '130', 9, 1)
(127, 'Peluches', '131', 10, 1)
(128, 'Poupées', '132', 10, 1)
(129, 'Véhicules', '133', 10, 1)
(130, "Jouets d'extérieur", '134', 10, 1)
(131, 'Jeux de société', '135', 11, 1)
(132, 'Jeux de cartes', '136', 11, 1)
(133, 'Puzzles', '137', 11, 1)
(134, 'Jeux éducatifs', '138', 11, 1)
(135, 'Jeux créatifs', '139', 11, 1)
(136, 'Jouets premier âge', '140', 12, 1)
(137, 'Jouets de bain', '141', 12, 1)
(138, 'Instruments de musique', '142', 12, 1)
(139, 'Funko', '143', 13, 1)
(140, 'Figurines', '144', 13, 1)
(141, 'Statues', '145', 13, 1)
(142, 'Répliques', '146', 13, 1)
(143, 'Peluches de collection', '147', 14, 1)
(144, 'Coffrets collectors', '148', 14, 1)
(145, 'Cartes à collectionner', '149', 14, 1)
(146, 'Présentoirs & Protections', '150', 14, 1)
(147, 'Agendas', '151', 15, 1)
(148, 'Calendriers', '152', 15, 1)
(149, 'Cahiers', '153', 15, 1)
(150, 'Carnets & Blocs', '154', 15, 1)
(152, 'Stylos', '155', 15, 1)
(153, 'Sets de papeterie', '156', 15, 1)
(154, 'Marque-pages', '157', 15, 1)
(155, 'Stickers', '158', 15, 1)
(156, 'Porte-clés', '159', 16, 1)
(157, 'Pins & Badges', '160', 16, 1)
(158, 'Patchs', '161', 16, 1)
(159, 'Tours de cou', '162', 16, 1)
(161, 'Montres', '163', 16, 1)
(162, 'Bijoux', '164', 16, 1)
(163, 'Accessoires téléphone', '165', 16, 1)
(164, 'Réveils', '166', 17, 1)
(165, 'Enceintes Bluetooth', '167', 17, 1)
(166, 'Casques audio', '168', 17, 1)
(167, 'Écouteurs', '169', 17, 1)
(168, 'Supports téléphone', '170', 17, 1)
(169, 'Coques', '171', 17, 1)
